Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Overall|1.7|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Arbeitsatmosphäre|2|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|3|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Umgang mit älteren Kollegen|2|Ältere Kollegen werden zwar akzeptiert, aber sind nicht wirklich gewollt.
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|1|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Corona1|NA|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Corona2|NA|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Corona3|NA|
adidas ag|Handel|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Nicht empfohlen|Work-Life-Balance|2|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Overall|3.0|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Arbeitsatmosphäre|4|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Kollegenzusammenhalt|4|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Gleichberechtigung|3|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|2|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|3|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona1|NA|Mitarbeiter wurden soweit möglich in Homeoffice geschickt.
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona2|NA|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Corona3|NA|
adidas ag|Handel|May 2020|2|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei adidas in Herzogenaurach gearbeitet.|Empfohlen|Work-Life-Balance|3|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Overall|3.8|Guter Arbeitgeber mit Problemen in der Führungsriege
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Arbeitsatmosphäre|3|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Gleichberechtigung|5|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|4|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona1|NA|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona2|NA|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona3|NA|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Work-Life-Balance|4|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Overall|3.8|Ich weiß nicht.
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Arbeitsatmosphäre|3|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Gleichberechtigung|5|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|4|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona1|NA|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona2|NA|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Corona3|NA|
adidas ag|Handel|April 2020|3|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Administration / Verwaltung bei adidas AG in Rieste gearbeitet.|Empfohlen|Work-Life-Balance|4|
