Org|OrgSector|RverMonthYear|RverReviewer|RverPosition|RverLoc|RverRecom|RvReviewAbout|RvScore|RvComment
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung. bei Covestro. in . Leverkusen gearbeitet.|Empfohlen|Overall|4.7|Ein modernes Unternehmen, bei. dem es. leicht . fällt, sich mit ihm zu identifizieren
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Arbeitsatmosphäre|4|jsgfj  dfmitfühlfwef wkgfn sdfmitfühlendwef w;okefno;wenf  qafd wsefwe
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Kollegenzusammenhalt|4|
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Gleichberechtigung|5| Globales  Unternehmen  Gleichberechtigung  legt; gleich funktionieren integrationen  sind alle nicht Mitarbeiter,  gleich welcher Herkunft, welcher Religion, welcher Sprache, welches Geschlechts, etc.
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|4|
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|Verschiedene Abteilungen setzen sich u.a. mit den Themen CO2 als Rohstoff, Nachhaltigkeit, Soziales auseinander
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Corona1|NA|kein moral Alle Mitarbeiter sind eins und können freiwillig auf einen Anteil ihres Entgeltes für eine festgelegte Zeit verzichten, um gemeinsam durch die Krise zu kommen. Einrichtung einer frühzeitigen Task-Force mit schnellen Ergebnissen, die umgesetzt wurden
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Corona2|NA|
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Corona3|NA|
Covestro AG|Chemie|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung bei Covestro in Leverkusen gearbeitet.|Empfohlen|Work-Life-Balance|5|Nicht nur in Corona-Zeiten ist es Covestro wichtig, dass seine Mitarbeiter gesund und zufrieden bleiben
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Overall|1.6|Ein echter Dinosaurier in Bezug auf Marketing und Unternehmensführung
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Arbeitsatmosphäre|1|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|2|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Gleichberechtigung|2|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Umgang mit älteren Kollegen|2|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Umwelt-/Sozialbewusstsein|1|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Corona1|NA|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Corona2|NA|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Corona3|NA|
Covestro AG|Chemie|August 2018|2|Ex-Führungskraft / Management|Hat im Bereich Marketing / Produktmanagement bei Covestro in Leverkusen gearbeitet.|Nicht empfohlen|Work-Life-Balance|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Overall|4.2|Sehr angenehmes Arbeitsumfeld
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Arbeitsatmosphäre|4|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Kollegenzusammenhalt|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Gleichberechtigung|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Umgang mit älteren Kollegen|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Umwelt-/Sozialbewusstsein|5|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Corona1|NA|frühzeitig und kurzfristig Maßnahmen zum erkennen und eindämmen der Pandemie
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Corona2|NA|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Corona3|NA|Mein Arbeitgeber hat für alle Angestellten Mund-Nasenschutz in ausreichender Zahl zur Verfügung gestellt
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|1|Angestellte/r oder Arbeiter/in|Hat zum Zeitpunkt der Bewertung im Bereich Produktion bei fresenius in Sankt Wendel gearbeitet.|Empfohlen|Work-Life-Balance|3|
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Overall|2.5|Unternehmenskultur ist nicht mehr zeitgemäss
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Arbeitsatmosphäre|3|Jeder schaut nach sich selber. Kaum Teamzusammenhalt. Wird in Management nicht vorgelebt.
Fresenius Medical Care AG & Co. KGaA|Medizin/Pharma|May 2020|2|Ex-Angestellte/r oder Arbeiter/in|Hat im Bereich Vertrieb / Verkauf bei Fresenius Medical Care in Bad Homburg gearbeitet.|Nicht empfohlen|Kollegenzusammenhalt|2|
