Dataset2 Labels,AFF,CON,FIRE,MFG,OTH,RET,SVC,TPU
RCB,6.60,6.11,4.31,5.42,8.31,5.23,4.12,4.45
SWC,4.16,2.48,4.14,3.65,2.55,3.61,4.71,4.69
WHR,8.25,5.58,8.66,6.86,2.39,5.53,6.08,7.36
GED,2.83,2.55,3.31,2.72,2.46,3.20,2.98,3.00
GND,1.92,2.47,4.89,5.18,2.47,4.47,5.22,5.05
CLD,2.23,4.45,2.83,3.83,3.92,3.32,3.48,3.11
OJP,2.78,3.54,3.62,4.84,10.57,7.33,4.86,4.20
WLB,1.21,5.24,3.59,3.71,5.39,5.80,3.99,3.29
WEM,7.96,4.38,4.16,4.54,1.51,3.83,4.02,5.23
APE,2.44,9.11,6.24,5.78,5.01,5.04,5.39,4.91
AGD,22.54,12.41,12.42,12.24,16.12,13.65,11.92,13.00
CAC,4.60,3.92,5.06,4.54,3.12,3.86,4.93,5.11
CNC,4.04,9.27,6.51,6.64,6.78,6.97,7.14,6.71
FUN,3.31,3.81,3.20,3.17,2.39,2.79,3.38,4.45
YNT,3.68,3.27,4.52,4.17,4.38,5.78,6.37,4.05
CMO,1.52,3.77,5.16,4.30,5.65,3.20,4.00,4.13
WFH,10.55,6.03,6.36,6.11,5.71,4.47,5.27,5.57
BDS,2.20,5.21,3.53,3.59,4.82,3.91,3.76,4.12
TAW,4.34,4.17,4.62,5.73,3.72,5.38,5.61,4.81
FML,2.85,2.23,2.88,3.00,2.76,2.61,2.77,2.77
