Deutsche Post AG,1154
Siemens Aktiengesellschaft,1129
Siemens Healthineers AG,1129
Deutsche Telekom AG,813
Continental Aktiengesellschaft,669
Bertrandt Aktiengesellschaft,653
BASF SE,545
Bechtle AG,527
Sixt SE,518
Commerzbank AG,493
Amadeus FiRe AG,479
thyssenkrupp AG,444
Volkswagen AG,431
Allianz SE,421
Zalando SE,420
Schaeffler AG,386
Telefónica Deutschland Holding AG,375
1&1 Drillisch AG,363
Knorr-Bremse Aktiengesellschaft,343
Vonovia SE,310
Wüstenrot & Württembergische AG,304
Cancom SE,302
Daimler AG,278
Carl Zeiss Meditec AG,255
Deutsche Bank AG,254
Infineon Technologies AG,253
Drägerwerk AG & Co. KGaA,250
adidas ag,236
HELLA GmbH & Co. KGaA,235
Scout24 AG,214
Fielmann Aktiengesellschaft,201
freenet AG,198
Linde AG,188
SMA Solar Technology AG,187
Ströer SE & Co. KGaA,175
Hugo Boss AG,160
Krones AG,160
Fraport AG,159
Evonik Industries AG,146
Deutsche Lufthansa AG,145
MERCK Kommanditgesellschaft auf Aktien,144
Gerresheimer AG,143
Rheinmetall AG,140
Jungheinrich Aktiengesellschaft,137
CompuGroup Medical Societas Europaea,131
OSRAM Licht AG,124
Beiersdorf Aktiengesellschaft,115
Wirecard AG,107
ProSiebenSat.1 Media SE,101
MTU Aero Engines AG,100
RTL Group SA,98
Brenntag AG,97
LEONI AG,96
BayWa Aktiengesellschaft,91
Nordex SE,89
TeamViewer AG,88
Grand City Properties S.A.,88
SAP SE,86
LANXESS Aktiengesellschaft,84
Sartorius Aktiengesellschaft,84
PUMA SE,83
Aurubis AG,82
Henkel AG & Co. KGaA,80
Fresenius Medical Care AG & Co. KGaA,79
CTS Eventim AG & Co. KGaA,79
QIAGEN N.V.,74
CEWE Stiftung & Co. KGaA,74
Bilfinger SE,73
Jenoptik AG,71
RWE Aktiengesellschaft,71
HOCHTIEF Aktiengesellschaft,67
Deutsche Börse AG,65
Uniper SE,62
Covestro AG,61
GEA Group Aktiengesellschaft,60
zooplus AG,60
Wacker Chemie AG,58
HelloFresh SE,58
Software Aktiengesellschaft,57
Symrise AG,55
LEG Immobilien AG,55
TAG Immobilien AG,55
Deutsche Wohnen SE,55
SNP Schneider-Neureither & Partner SE,52
Bayer Aktiengesellschaft,48
Aareal Bank AG,46
Salzgitter AG,46
Metro AG,46
GRENKE AG,44
Münchener Rückversicherungs-Gesellschaft AG,42
Pfeiffer Vacuum Technology AG,40
WashTec AG,39
DEUTZ Aktiengesellschaft,38
Südzucker AG,38
LPKF Laser & Electronics AG,38
JOST Werke AG,37
Delivery Hero SE,35
KWS SAAT SE & Co. KGaA,34
Hypoport SE,33
Wacker Neuson SE,32
CORESTATE Capital Holding S.A.,31
RATIONAL Aktiengesellschaft,31
Hannover Rück SE,30
Koenig & Bauer AG,29
Rocket Internet SE,28
HeidelbergCement AG,27
Shop Apotheke Europe N.V.,26
RIB Software SE,26
New Work SE,26
Siltronic AG,24
RHÖN-KLINIKUM Aktiengesellschaft,23
Aroundtown SA,22
Vossloh AG,21
Patrizia AG,21
KION GROUP AG,21
AIXTRON SE,20
Isra Vision AG,19
United Internet AG,19
alstria office REIT-AG,19
SAF-Holland SE,18
Instone Real Estate Group AG,18
Stabilus S.A.,17
Fresenius SE & Co. KGaA,17
Hamburger Hafen und Logistik Aktiengesellschaft,16
E.ON SE,16
NORMA Group SE,16
Nemetschek SE,15
Encavis AG,15
Deutsche Pfandbriefbank AG,14
Evotec SE,12
Klöckner & Co SE,10
ADVA Optical Networking SE,10
Elmos Semiconductor AG,10
DWS Group GmbH & Co. KGaA,9
DIC Asset AG,9
MorphoSys AG,9
Traton SE,8
Eckert & Ziegler Strahlen- und Medizintechnik AG,6
Takkt AG,5
Dermapharm Holding SE,4
Deutsche Beteiligungs AG,4
Bayerische Motoren Werke AG,3
Borussia Dortmund GmbH & Co. Kommanditgesellschaft auf Aktien,2
K+S Aktiengesellschaft,1
Hamborner REIT AG,1
Deutsche EuroShop AG,1
Fuchs Petrolub SE,1
