Deutsche Telekom AG,190
Siemens Aktiengesellschaft,169
Siemens Healthineers AG,169
Continental Aktiengesellschaft,114
Deutsche Post AG,109
Bechtle AG,106
Volkswagen AG,93
Bertrandt Aktiengesellschaft,93
Amadeus FiRe AG,91
Allianz SE,86
Sixt SE,81
BASF SE,78
Wüstenrot & Württembergische AG,75
thyssenkrupp AG,75
Vonovia SE,73
Commerzbank AG,65
Zalando SE,61
adidas ag,60
Infineon Technologies AG,59
Daimler AG,58
Schaeffler AG,47
Carl Zeiss Meditec AG,46
Cancom SE,45
Knorr-Bremse Aktiengesellschaft,43
Telefónica Deutschland Holding AG,42
Ströer SE & Co. KGaA,37
Gerresheimer AG,36
SAP SE,36
freenet AG,36
1&1 Drillisch AG,35
Drägerwerk AG & Co. KGaA,33
Krones AG,32
Hugo Boss AG,30
Jungheinrich Aktiengesellschaft,29
PUMA SE,29
Deutsche Bank AG,28
SMA Solar Technology AG,27
Evonik Industries AG,27
Scout24 AG,25
TeamViewer AG,24
CompuGroup Medical Societas Europaea,22
Rheinmetall AG,22
Henkel AG & Co. KGaA,21
ProSiebenSat.1 Media SE,21
Fielmann Aktiengesellschaft,20
MERCK Kommanditgesellschaft auf Aktien,20
HELLA GmbH & Co. KGaA,20
Nordex SE,20
Beiersdorf Aktiengesellschaft,20
Covestro AG,20
RTL Group SA,19
Deutsche Lufthansa AG,19
TAG Immobilien AG,18
Wirecard AG,18
RWE Aktiengesellschaft,17
Fraport AG,17
LEG Immobilien AG,17
Pfeiffer Vacuum Technology AG,17
SNP Schneider-Neureither & Partner SE,15
LANXESS Aktiengesellschaft,15
QIAGEN N.V.,15
Grand City Properties S.A.,15
Linde AG,15
OSRAM Licht AG,14
Sartorius Aktiengesellschaft,14
GRENKE AG,14
Aareal Bank AG,14
Bilfinger SE,14
CEWE Stiftung & Co. KGaA,14
Bayer Aktiengesellschaft,13
CTS Eventim AG & Co. KGaA,13
HelloFresh SE,12
BayWa Aktiengesellschaft,12
Aurubis AG,12
Wacker Chemie AG,12
HOCHTIEF Aktiengesellschaft,11
Deutsche Börse AG,11
zooplus AG,11
Deutsche Wohnen SE,11
Software Aktiengesellschaft,11
CORESTATE Capital Holding S.A.,11
New Work SE,11
Hannover Rück SE,10
Fresenius Medical Care AG & Co. KGaA,10
LEONI AG,9
MTU Aero Engines AG,9
Encavis AG,9
Jenoptik AG,8
Symrise AG,8
DEUTZ Aktiengesellschaft,8
Brenntag AG,7
alstria office REIT-AG,7
Salzgitter AG,7
Uniper SE,7
HeidelbergCement AG,7
Instone Real Estate Group AG,7
Delivery Hero SE,6
RATIONAL Aktiengesellschaft,6
JOST Werke AG,6
KWS SAAT SE & Co. KGaA,6
Metro AG,6
Rocket Internet SE,6
Hypoport SE,6
E.ON SE,6
RIB Software SE,5
Koenig & Bauer AG,5
WashTec AG,5
Münchener Rückversicherungs-Gesellschaft AG,5
Wacker Neuson SE,5
Aroundtown SA,4
Vossloh AG,4
Stabilus S.A.,4
United Internet AG,4
AIXTRON SE,4
Hamburger Hafen und Logistik Aktiengesellschaft,3
Evotec SE,3
Shop Apotheke Europe N.V.,3
Traton SE,3
Südzucker AG,3
Klöckner & Co SE,3
Siltronic AG,3
SAF-Holland SE,3
DIC Asset AG,2
RHÖN-KLINIKUM Aktiengesellschaft,2
Deutsche Pfandbriefbank AG,2
NORMA Group SE,2
GEA Group Aktiengesellschaft,2
Nemetschek SE,2
Isra Vision AG,1
Fresenius SE & Co. KGaA,1
KION GROUP AG,1
MorphoSys AG,1
DWS Group GmbH & Co. KGaA,1
