Word,GlobalTF,DF,MaxTFIDF,POS,Entropy,SelectOrNot,DuplicateOrNot
groß,2254,2006,1,ADJ,0.68953967,1,0
vielfalt,56,56,0.930233388,NOUN,0.367168148,11,0
arbeitgeber,8533,8386,1,NOUN,0.823342549,1,0
absolut,676,622,0.920071742,NOUN,0.583913581,1,0
angenehm,1248,1197,1,ADJ,0.644907795,1,0
arbeitszeiten,1324,1258,1,NOUN,0.649163722,1,1
balance,983,953,0.733447157,NOUN,0.624660453,1,0
fühlen,767,706,1,VERB,0.595376552,1,0
home,1021,888,0.609642155,NOUN,0.613861257,1,0
kommunikation,677,639,1,NOUN,0.587193316,14,0
life,947,919,1,NOUN,0.621327211,1,0
office,1092,949,0.599939173,NOUN,0.619947145,21,0
position,186,180,0.607749245,NOUN,0.47258188,21,0
super,3268,2891,1,NOUN,0.721739415,1,0
unternehmen,4225,3738,1,NOUN,0.745316722,1,0
work,1447,1287,1,NOUN,0.647076485,1,0
abteilungen,730,631,0.961518729,NOUN,0.582893104,1,1
alt,2778,2374,0.808728399,ADJ,0.703579849,13,0
arbeit,2851,2512,1,NOUN,0.709349883,1,1
arbeiten,4044,3442,1,VERB,0.736780726,1,1
elternzeit,168,152,0.668627699,NOUN,0.454481819,11,0
familie,748,712,1,NOUN,0.597449728,12,0
flexible,740,719,1,NOUN,0.598965604,1,0
jung,1189,1099,0.862820603,ADJ,0.635915014,13,0
kollegen,8357,5975,0.869163327,NOUN,0.781906048,1,0
möglich,1477,1311,1,NOUN,0.650850906,1,0
nette,822,790,0.884121317,NOUN,0.607107429,1,1
stark,1176,1035,1,NOUN,0.628348541,1,0
umgang,1291,1185,0.863661161,NOUN,0.64260504,1,0
überstunden,1491,1336,0.568465972,NOUN,0.652378436,1,0
firma,1876,1655,1,NOUN,0.670555749,1,0
lang,1031,953,1,ADJ,0.623132767,1,0
toll,3273,2940,1,NOUN,0.72451103,1,0
flexibel,836,803,1,NOUN,0.608696148,1,0
freundlich,656,620,1,ADJ,0.584543412,1,0
homeoffice,1092,959,0.904754405,NOUN,0.621295255,1,0
mitarbeitern,1026,938,0.757767611,NOUN,0.620752035,1,1
neue,634,586,0.770715464,ADJ,0.578393836,1,1
team,3241,2677,1,NOUN,0.713190955,1,1
einfach,904,825,1,NOUN,0.609125204,1,0
unterscheidung,13,13,0.612391641,NOUN,0.233959111,11,0
unterstützen,611,581,0.922157114,VERB,0.578781335,1,0
spaß,803,765,1,NOUN,0.603968342,1,0
frauen,1703,1498,1,NOUN,0.662422226,1,0
mitarbeiter,4696,3593,1,NOUN,0.736323423,1,1
nehmen,1304,1174,1,VERB,0.640953899,1,0
tag,778,673,1,NOUN,0.588736217,1,0
fördern,718,660,1,VERB,0.589318699,1,0
gleichberechtigung,531,510,0.513972737,NOUN,0.567344882,11,0
nett,729,703,1,NOUN,0.596611674,1,1
leben,939,861,1,VERB,0.613250996,1,0
aufgaben,1364,1298,0.77671502,NOUN,0.652034824,1,0
job,1114,1076,1,NOUN,0.63539033,1,0
zeit,1328,1230,1,NOUN,0.64599287,1,0
druck,937,816,1,NOUN,0.606056647,1,0
geschlecht,157,154,0.339159478,VERB,0.458783822,12,0
gleitzeit,803,789,1,NOUN,0.607807086,1,0
männliche,62,61,0.417295061,NOUN,0.374412642,12,0
urlaub,1221,1078,0.472893214,NOUN,0.632707073,1,0
zusammenhalt,1508,1446,1,NOUN,0.662027956,1,0
atmosphäre,1208,1169,0.949369017,NOUN,0.643053764,1,0
empfehlen,659,654,1,VERB,0.591084999,1,0
management,889,789,1,NOUN,0.602785525,1,0
schlecht,3077,2634,1,ADJ,0.712690423,1,0
interessant,639,631,1,ADJ,0.587650183,1,1
interessante,606,601,1,NOUN,0.583353392,1,1
behandeln,781,714,0.845282387,VERB,0.596567246,1,0
offen,1001,931,1,NOUN,0.620950624,1,0
spannend,697,687,0.916885405,ADJ,0.595275357,1,0
möglichkeiten,793,765,1,NOUN,0.604342906,1,0
integration,45,45,0.859605928,NOUN,0.347220646,21,0
herrschen,708,651,0.63049371,VERB,0.58793419,1,0
wirklich,1091,960,1,NOUN,0.620671557,1,0
arbeitszeit,644,612,0.962005512,NOUN,0.583586911,1,1
arbeitsatmosphäre,1292,1243,1,NOUN,0.648558181,1,0
gutes,1580,1524,1,NOUN,0.667295069,1,0
religion,61,59,0.337324139,NOUN,0.370823081,24,0
vorhanden,1020,899,1,ADJ,0.616281126,1,0
arbeitsklima,912,889,1,NOUN,0.618440013,1,0
herkunft,85,85,0.293959855,NOUN,0.405231681,13,0
teams,739,641,0.69269071,NOUN,0.584152016,1,1
halten,886,847,1,VERB,0.613369333,1,0
abteilung,1501,1222,0.848405421,NOUN,0.641714797,1,0
erfahrung,759,727,1,NOUN,0.599536866,1,0
schätzen,585,567,0.857266397,NOUN,0.577044252,11,0
helfen,679,642,1,VERB,0.587670141,1,0
jahren,884,820,1,NOUN,0.609269293,1,0
minderheit,19,19,0.369307462,NOUN,0.268573851,11,0
vorgesetzt,1846,1547,1,VERB,0.663202025,1,0
woche,697,640,0.847505179,NOUN,0.586111901,1,0
senior,100,97,1,NOUN,0.416262191,23,0
mitarbeiterbewertung,1162,1162,1,NOUN,0.643778609,1,0
betrachten,92,88,0.958508983,VERB,0.406952309,11,0
ausbildung,801,778,1,NOUN,0.606093603,1,0
bereich,858,761,1,ADJ,0.600314918,1,0
bezahlung,625,618,0.961851166,NOUN,0.585796396,1,0
sozial,938,900,1,NOUN,0.619020883,1,0
führungskräfte,720,643,1,NOUN,0.585098349,1,0
gehalt,640,615,1,NOUN,0.584005313,1,0
neu,704,640,1,ADJ,0.584676001,1,1
stunden,749,651,0.581774563,NOUN,0.585077257,1,0
frau,385,364,0.643783754,NOUN,0.535625613,12,0
zufrieden,1069,1042,1,NOUN,0.632931222,1,0
positiv,903,845,1,NOUN,0.612443398,1,0
unerfahren,35,35,0.881847897,NOUN,0.32429727,13,0
ausländer,48,44,0.965747399,NOUN,0.341575689,14,0
behindern,50,49,0.62073833,NOUN,0.354302006,16,0
traditionell,63,62,1,NOUN,0.375904469,13,0
kultur,274,263,1,NOUN,0.506396477,14,0
lager,31,25,0.82128488,NOUN,0.283134791,13,0
praktikum,768,756,1,NOUN,0.603968256,1,0
weiblich,126,121,0.315749193,ADJ,0.436118448,12,0
anfang,175,163,0.976676867,NOUN,0.462156885,14,0
bewertung,761,754,1,NOUN,0.603945132,1,0
fair,1034,1004,1,ADJ,0.629418323,1,0
unterscheiden,230,218,0.926377719,VERB,0.489431228,11,0
erkennen,134,130,0.607535258,VERB,0.442976609,11,0
kind,103,95,0.764854248,NOUN,0.412930537,13,0
abwechslung,59,59,1,NOUN,0.371928215,11,0
situation,385,344,0.629743119,NOUN,0.529180783,21,0
frauenquote,146,141,0.533624568,NOUN,0.450243889,12,0
befriedigen,668,667,1,VERB,0.593092391,1,0
mann,311,286,0.756164494,NOUN,0.511957292,12,0
umgebung,93,93,0.980456414,NOUN,0.413436213,11,0
altersteilzeit,119,118,0.543848422,NOUN,0.434860037,13,0
deutsch,805,781,0.843761511,ADJ,0.606350235,1,0
pflegen,93,90,0.743807325,NOUN,0.409357202,12,0
wurzeln,22,22,1,NOUN,0.28194613,14,0
bestand,13,13,0.332592064,VERB,0.233959111,13,0
linie,40,38,0.876961369,NOUN,0.330154725,12,0
anerkennen,54,54,0.723605421,VERB,0.363850912,11,0
benachteiligen,171,169,0.605092465,NOUN,0.4675124,11,0
einschränken,53,52,1,VERB,0.359760092,16,0
ruhestand,31,30,0.3590326,NOUN,0.309148457,13,0
behinderung,15,14,0.518212224,NOUN,0.238581945,16,0
fremd,22,22,0.584235807,ADJ,0.28194613,14,0
männlich,146,140,0.400729016,ADJ,0.449377797,12,0
old,38,35,0.65796869,NOUN,0.321815686,23,0
verhältnisse,25,25,0.506871022,NOUN,0.293606314,14,0
frischen,20,20,0.859943776,NOUN,0.273252514,12,0
ansehen,166,161,0.976771293,VERB,0.462475781,11,0
migrationshintergrund,19,17,0.433233855,NOUN,0.255263393,14,0
ungleichbehandlung,21,20,0.666656534,NOUN,0.271681459,11,0
hintergrund,35,35,0.716851788,NOUN,0.32429727,14,0
ermessen,10,10,0.592030376,VERB,0.210027836,11,0
generation,35,34,0.560792692,NOUN,0.320684431,23,0
einbindung,21,21,0.901981711,NOUN,0.277702857,11,0
rede,33,32,0.903928914,NOUN,0.315098398,14,0
family,42,39,1,NOUN,0.331895438,22,0
einbeziehen,25,25,0.603444412,VERB,0.293606314,11,0
ansprache,14,14,0.488558392,NOUN,0.240718791,14,0
care,79,73,1,NOUN,0.387350138,22,0
diskrepanz,16,16,0.654533126,NOUN,0.252898714,11,0
diversity,140,136,1,NOUN,0.447133788,21,0
divers,137,133,0.620847089,NOUN,0.445078844,11,0
chancengleichheit,24,22,0.691145238,NOUN,0.279345334,11,0
culture,31,29,0.740783347,NOUN,0.305069446,24,0
diskriminieren,49,49,1,NOUN,0.354988225,11,0
herr,11,11,0.807254652,NOUN,0.218721452,12,0
experience,98,90,1,NOUN,0.406916476,23,0
vielzahl,22,22,0.445044318,NOUN,0.28194613,11,0
opportunity,54,53,0.779162358,NOUN,0.361509257,21,0
begrüßen,11,11,0.519211722,VERB,0.218721452,11,0
young,46,42,0.609938333,NOUN,0.337192278,23,0
zugehörigkeit,21,21,0.674732769,NOUN,0.277702857,11,0
lgbt,11,9,0.316988906,NOUN,0.191391794,15,0
woman,40,33,0.517468599,NOUN,0.311962179,22,0
unterzahl,15,15,0.504136785,NOUN,0.247011902,11,0
würdigen,36,36,0.908726527,NOUN,0.326866846,11,0
erwachsen,10,10,0.775481059,NOUN,0.210027836,12,0
sprache,15,14,0.382229933,NOUN,0.238581945,14,0
equal,10,9,0.393460943,NOUN,0.1973829,21,0
geschlechts,30,30,0.265426075,NOUN,0.31023658,12,0
sexuell,17,17,0.273742371,NOUN,0.258428524,15,0
gender,14,14,0.248998172,NOUN,0.240718791,22,0
male,14,13,0.376955681,NOUN,0.231686694,22,0
pay,17,15,0.908248769,VERB,0.240744628,11,0
altersgruppe,12,12,0.794559544,NOUN,0.226658101,13,0
respect,28,25,0.685424414,NOUN,0.290395324,21,0
angehörig,13,13,0.441987666,ADJ,0.233959111,12,0
aufnahme,10,10,0.989082279,NOUN,0.210027836,11,0
man,21,18,0.644512704,NOUN,0.259638663,22,0
value,39,38,0.714217247,NOUN,0.330925565,21,0
inclusion,10,10,0.379965963,NOUN,0.210027836,21,0
diversität,27,26,0.75329225,NOUN,0.295942924,11,0
female,14,8,0.481461657,NOUN,0.161643798,22,0
schwul,16,15,0.387194703,ADJ,0.244995629,15,0
