Validation_Set,Topics,Coherence
75% Corpus,15,0.40405307943138785
75% Corpus,16,0.4270276701929233
75% Corpus,17,0.39831005467638786
75% Corpus,18,0.3931822978970548
75% Corpus,19,0.4114805259857998
75% Corpus,20,0.4078487064914911
75% Corpus,21,0.41582984475812995
75% Corpus,22,0.4028915564232989
75% Corpus,23,0.4054767448514151
75% Corpus,24,0.4142793421132968
100% Corpus,15,0.41829983047176894
100% Corpus,16,0.4242589858285934
100% Corpus,17,0.40693036049236353
100% Corpus,18,0.40179792821874316
100% Corpus,19,0.41981353009345085
100% Corpus,20,0.40187498864324767
100% Corpus,21,0.4161799207590495
100% Corpus,22,0.3934156485923831
100% Corpus,23,0.4170668183485678
100% Corpus,24,0.3962858023147023
