Sr. No,Unternehmen,Index,URL Pattern,Industry Type,Kununu Webpage,Verified,,,,,,,,,,,,,,,,,,,
1,adidas ag,Dax30,adidas,Handel,,Yes,,,,,,,,,,,,,,,,,,,
2,Allianz SE,Dax30,allianz-deutschland,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
3,BASF SE,Dax30,basf-se,Chemie,,Yes,,,,,,,,,,,,,,,,,,,
4,Bayer Aktiengesellschaft,Dax30,bayer,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
5,Bayerische Motoren Werke AG,Dax30,bayerische-motoren-werke,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
6,Beiersdorf Aktiengesellschaft,Dax30,beiersdorf,Handel,,Yes,,,,,,,,,,,,,,,,,,,
7,Continental Aktiengesellschaft,Dax30,continental-gruppe,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
8,Covestro AG,Dax30,covestro-deutschland3,Chemie,https://www.kununu.com/de/covestro-deutschland3,Yes,,,,,,,,,,,,,,,,,,,
9,Daimler AG,Dax30,daimler-gruppe,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
10,Deutsche Bank AG,Dax30,deutsche-bank,Banken,,Yes,,,,,,,,,,,,,,,,,,,
11,Deutsche Börse AG,Dax30,deutsche-boerse,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
12,Deutsche Lufthansa AG,Dax30,deutsche-lufthansa,Transport/Verkehr/Logistik,,Yes,,,,,,,,,,,,,,,,,,,
13,Deutsche Post AG,Dax30,deusche-post,Transport/Verkehr/Logistik,,Yes,,,,,,,,,,,,,,,,,,,
14,Deutsche Telekom AG,Dax30,deutsche-telekom,Telekommunikation,,Yes,,,,,,,,,,,,,,,,,,,
15,E.ON SE,Dax30,eon,Energie,,Yes,,,,,,,,,,,,,,,,,,,
16,Fresenius Medical Care AG & Co. KGaA,Dax30,fresenius-medical-care,Medizin/Pharma,https://www.kununu.com/de/fresenius-biotech,Yes,,,,,,,,,,,,,,,,,,,
17,Fresenius SE & Co. KGaA,Dax30,fresenius-se,Medizin/Pharma,,Yes,,,,,,,,,,,,,,,,,,,
18,HeidelbergCement AG,Dax30,heidelbergcement2,Bau/Architektur,,Yes,,,,,,,,,,,,,,,,,,,
19,Henkel AG & Co. KGaA,Dax30,henkel-aa,Chemie,,Yes,,,,,,,,,,,,,,,,,,,
20,Infineon Technologies AG,Dax30,infineon-technologies,Elektro/Elektronik,,Yes,,,,,,,,,,,,,,,,,,,
21,Linde AG,Dax30,lindeag,Chemie,,Yes,,,,,,,,,,,,,,,,,,,
22,MERCK Kommanditgesellschaft auf Aktien,Dax30,merckaa,Medizin/Pharma,https://www.kununu.com/de/merckaa,Yes,,,,,,,,,,,,,,,,,,,
23,MTU Aero Engines AG,Dax30,mtuaeroengines,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
24,Münchener Rückversicherungs-Gesellschaft AG,Dax30,muenchener-rueckversicherung,Versicherung,,Yes,,,,,,,,,,,,,,,,,,,
25,RWE Aktiengesellschaft,Dax30,rwe,Energie,https://www.kununu.com/de/rwe,Yes,,,,,,,,,,,,,,,,,,,
26,SAP SE,Dax30,sap,IT,,Yes,,,,,,,,,,,,,,,,,,,
27,Siemens Aktiengesellschaft,Dax30,siemens,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
28,Volkswagen AG,Dax30,volkswagen,Automobil,,Yes,,,,,,,,,,,,,,,,,,,
29,Vonovia SE,Dax30,vonovia-se,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
30,Wirecard AG,Dax30,wirecard,Finanz,,Yes,,,,,,,,,,,,,,,,,,,
31,Aareal Bank AG,Mdax,aareal-bank,Banken,,Yes,,,,,,,,,,,,,,,,,,,
32,Airbus SE,Mdax,airbus,Transport/Verkehr/Logistik,https://www.kununu.com/de/airbus,Yes,,,,,,,,,,,,,,,,,,,
33,alstria office REIT-AG,Mdax,alstria-office-reit-ag1,Immobilien,,Yes,,,,,,,,,,,,,,,,,,,
34,Aroundtown SA,Mdax,aroundtown-commercial-properties,Immobilien,https://www.kununu.com/de/aroundtown-commercial-properties,Yes,,,,,,,,,,,,,,,,,,,
35,Aurubis AG,Mdax,aurubismetalsforprogress,Industrie,,Yes,,,,,,,,,,,,,,,,,,,
36,Bechtle AG,Mdax,bechtle,IT,,Yes,,,,,,,,,,,,,,,,,,,
37,Brenntag AG,Mdax,brenntag1,Handel,https://www.kununu.com/de/brenntag1,Yes,,,,,,,,,,,,,,,,,,,
38,Cancom SE,Mdax,cancom,IT,,Yes,,,,,,,,,,,,,,,,,,,
39,Carl Zeiss Meditec AG,Mdax,carl-zeiss,Forschung/Entwicklung,https://www.kununu.com/de/carl-zeiss,Yes,,,,,,,,,,,,,,,,,,,
40,Commerzbank AG,Mdax,commerzbank,Banken,,Yes,,,,,,,,,,,,,,,,,,,
41,CompuGroup Medical Societas Europaea,Mdax,compugroup-medical-deutschland,IT,,Yes,,,,,,,,,,,,,,,,,,,
42,CTS Eventim AG & Co. KGaA,Mdax,ctsentim,Kunst/Kultur,,Yes,,,,,,,,,,,,,,,,,,,
