Dependent Feature,R2 on training set,R2 on test set,MSE training set,MSE on test set,,Intercept,Year,Recommendation,Sentiment Score Normalized,Previous or Current Employee,bad companies,job pressure,work atmosphere - interesting tasks,cohesion among colleagues,treatment of colleagues,equal rights,work life balance,treatment of leader,communication in the organization,flexible work hours,circumstances at work - overtime,age diversity,vacation,work from home,good management,work hours,work atmosphere,work atmosphere for new colleagues,One_Hot_Position_Employee,One_Hot_Position_Management,One_Hot_Position_Qualification,One_Hot_Position_TemporaryEmployed
Overall Rating,0.653,0.667,0.018,0.017,Slope ->,0.014,0.018,0.306,0.783,0.029,0.025,0.029,0.119,0.158,-0.018,0.025,0.098,0.016,0.092,0.185,-0.023,0.024,0.073,0.097,0.138,-0.074,0.142,0.132,-0.016,0.007,0.046,-0.023
,,,,,,.,****,*****,****,****,.,.,****,****,.,.,***,.,***,****,.,.,**,***,****,**,****,****,**,.,****,***
,,,,,p-value ->,0.62,0.001,0,0,0,0.461,0.389,0,0,0.6,0.475,0.004,0.625,0.007,0,0.51,0.498,0.038,0.006,0,0.033,0,0,0.025,0.336,0,0.007
,,,,,t-value ->,0.495,3.366,113.702,36.58,11.922,0.737,0.861,3.559,4.671,-0.525,0.714,2.844,0.489,2.716,5.126,-0.659,0.678,2.077,2.744,4.274,-2.127,4.099,3.91,-2.249,0.962,5.956,-2.721
Work Atmosphere,0.582,0.592,0.033,0.031,Slope ->,-0.196,0.017,0.351,0.997,0.031,0.138,0.132,0.278,0.33,0.075,0.149,0.22,0.148,0.221,0.312,0.08,0.161,0.217,0.228,0.278,0.027,0.307,0.283,-0.076,-0.056,0.003,-0.068
,,,,,,****,**,*****,****,****,***,***,****,****,.,***,****,***,****,****,*,****,****,****,****,.,****,****,****,****,.,****
,,,,,p-value ->,0,0.019,0,0,0,0.002,0.005,0,0,0.111,0.002,0,0.001,0,0,0.097,0.001,0,0,0,0.573,0,0,0,0,0.74,0
,,,,,t-value ->,-5.094,2.347,95.387,34.024,9.156,3.024,2.835,6.096,7.124,1.595,3.153,4.648,3.219,4.771,6.321,1.661,3.389,4.485,4.711,6.281,0.564,6.483,6.12,-7.729,-5.47,0.332,-5.964
Cohesion Among colleagues,0.363,0.37,0.037,0.038,Slope ->,0.203,-0.022,0.234,0.793,0.029,-0.12,-0.073,0.002,0.098,-0.117,-0.082,-0.037,-0.068,-0.073,0.039,-0.086,-0.103,-0.036,-0.057,-0.036,-0.146,-0.008,0.057,0.061,0.072,0.074,-0.004
,,,,,,****,***,*****,****,****,**,.,.,**,**,*,.,.,.,.,*,**,.,.,.,***,.,.,****,****,****,.
