Dependent Feature,R2 on training set,R2 on test set,MSE training set,MSE on test set,,Intercept,Year,Recommendation,Sentiment Score Normalized,Previous or Current Employee,relationships with colleagues and bosses,satisfaction with work and colleagues,work hours,great education,gender diversity,cultural diversity,"overtime, job pressure",work life balance,women empowerment,appreciation of experience,age diversity,cohesion among colleagues,cohesion among new colleagues,fun environment,young team,communication in the organisation,work from home,bad salary,tasks at work,female leaders,One_Hot_Position_Employee,One_Hot_Position_Management,One_Hot_Position_Qualification,One_Hot_Position_TemporaryEmployed
Overall Rating,0.683,0.66,0.017,0.018,Slope ->,0.076,0.021,0.314,0.622,0.03,-0.053,0.116,0.136,0.135,0.075,0.008,-0.094,0.062,0.071,0.096,0.039,0.126,-0.029,0.17,0.165,0.16,0.148,-0.103,0.072,-0.083,0.002,0.024,0.065,-0.014
,,ProbStar,,,,****,**,*****,****,****,**,****,****,****,***,.,****,**,**,****,**,****,.,****,****,****,****,***,***,**,.,****,****,.
,,Probs,,,p-value ->,0,0.011,0,0,0,0.03,0,0,0.001,0.002,0.809,0.001,0.018,0.013,0,0.016,0,0.151,0,0,0,0,0.002,0.005,0.046,0.657,0,0,0.103
,,Tees,,,t-value ->,4.964,2.552,68.945,20.766,6.961,-2.177,3.659,6.639,3.355,3.088,0.242,-3.477,2.37,2.476,4.207,2.419,4.303,-1.434,4.786,6.123,5.97,7.588,-3.057,2.812,-1.995,0.444,3.958,9.548,-1.63
Work Atmosphere,0.613,0.585,0.032,0.034,Slope ->,-0.026,0.004,0.364,0.788,0.034,-0.065,0.238,0.131,0.193,0.135,-0.015,-0.129,0.086,0.101,0.12,0.05,0.161,-0.012,0.188,0.266,0.192,0.192,-0.133,0.073,-0.056,-0.026,-0.008,0.035,-0.027
,,,,,,.,.,*****,****,****,**,****,****,****,****,.,****,**,**,****,**,****,.,****,****,****,****,***,**,.,****,.,****,**
,,,,,p-value ->,0.215,0.715,0,0,0,0.049,0,0,0,0,0.733,0,0.017,0.011,0,0.025,0,0.669,0,0,0,0,0.004,0.039,0.323,0,0.33,0,0.025
,,,,,t-value ->,-1.24,0.365,58.173,19.153,5.723,-1.968,5.459,4.631,3.508,4.041,-0.342,-3.495,2.385,2.549,3.846,2.238,4.005,-0.428,3.842,7.18,5.244,7.169,-2.853,2.064,-0.989,-3.839,-0.974,3.764,-2.241
Cohesion among colleagues,0.389,0.366,0.038,0.038,Slope ->,0.165,-0.019,0.231,0.692,0.03,-0.041,0.213,0.09,0.137,0.071,-0.093,-0.02,0.052,0.029,0.066,0.013,0.003,-0.074,0.143,0.184,0.098,0.12,-0.122,0.057,-0.153,0.063,0.071,0.067,-0.035
,,,,,,****,.,****,****,****,.,****,***,**,*,*,.,.,.,*,.,.,**,***,****,**,****,**,.,**,****,****,****,***
